event_time,event_type,product_id,price,user_id,user_session
2023-01-01 00:00:00 UTC,view,5809910,5.24,595414620,4adb70bb-edbd-4981-b60f-a05bfd32683a
2023-01-01 00:00:09 UTC,view,5812943,3.97,595414640,c8c5205d-be43-4f1d-aa56-4828b8151c8a
2023-01-01 00:00:19 UTC,view,5798924,3.97,595412617,46a5010f-bd69-4fbe-a00d-bb17aa7b46f3
2023-01-01 00:00:24 UTC,view,5793052,4.92,420652863,546f6af3-a517-4752-a98b-80c4c5860711
2023-01-01 00:00:25 UTC,view,5899926,3.92,484071203,cff70ddf-529e-4b0c-a4fc-f43a749c0acb
2023-01-01 00:00:30 UTC,view,5837111,6.35,595412617,46a5010f-bd69-4fbe-a00d-bb17aa7b46f3
2023-01-01 00:00:37 UTC,cart,5850281,137.78,593016733,848f607c-1d14-474a-8869-c40e60783c9d
2023-01-01 00:00:46 UTC,view,5802440,2.16,595411904,74ca1cd5-5381-4ffe-b00b-a258b390db77
2023-01-01 00:00:57 UTC,view,5726464,5.56,420652863,546f6af3-a517-4752-a98b-80c4c5860711
2023-01-01 00:01:02 UTC,remove_from_cart,5850281,137.78,593016733,848f607c-1d14-474a-8869-c40e60783c9d
2023-01-01 00:01:02 UTC,remove_from_cart,5850281,137.78,593016733,848f607c-1d14-474a-8869-c40e60783c9d
2023-01-01 00:01:05 UTC,view,5809910,5.24,588166646,e099adca-fec5-4aef-820f-6116836e322a
2023-01-01 00:01:13 UTC,cart,5802440,2.16,595411904,74ca1cd5-5381-4ffe-b00b-a258b390db77
2023-01-01 00:01:28 UTC,view,5753479,2.68,545251190,130db082-0e4b-4a03-851b-cea5435b7553
2023-01-01 00:01:31 UTC,view,5911252,1.27,539775844,e04ed824-4857-40e4-a783-aca4001bc05b
2023-01-01 00:01:32 UTC,view,5810716,1.27,595414814,dc2fb978-1008-4097-b598-440974faa7c3
2023-01-01 00:01:33 UTC,view,5831649,1.43,595412617,46a5010f-bd69-4fbe-a00d-bb17aa7b46f3
2023-01-01 00:01:37 UTC,view,5741344,4.29,420652863,546f6af3-a517-4752-a98b-80c4c5860711
2023-01-01 00:01:37 UTC,view,5770029,2.81,562921825,2d7bf387-7c51-4a5f-bce8-c3bb0c9c2ab7
2023-01-01 00:01:38 UTC,view,5810674,10.32,545251190,130db082-0e4b-4a03-851b-cea5435b7553
2023-01-01 00:01:40 UTC,view,5784983,2.06,502631750,6edb4c0e-285c-4fbc-8977-589ef6d326b8
2023-01-01 00:01:45 UTC,view,5793261,22.21,579707372,c4e35119-bbf5-49fa-9043-61cb7583c250
2023-01-01 00:01:48 UTC,view,5741352,3.33,420652863,546f6af3-a517-4752-a98b-80c4c5860711
2023-01-01 00:01:51 UTC,cart,5810716,1.27,595414814,dc2fb978-1008-4097-b598-440974faa7c3
2023-01-01 00:01:54 UTC,view,5775528,4.44,397780878,7e8a2b85-153a-44eb-a71f-b748fde14fcc
2023-01-01 00:02:09 UTC,view,5741345,3.33,420652863,546f6af3-a517-4752-a98b-80c4c5860711
2023-01-01 00:02:12 UTC,view,5776130,1.98,504289133,ed5adf3c-717c-4a24-90be-ea4b781af224
2023-01-01 00:02:12 UTC,view,5909810,18.73,583467324,5b6d1229-035c-4140-9bca-a2abf0f7e32c
2023-01-01 00:02:31 UTC,view,5775987,3.97,397780878,7e8a2b85-153a-44eb-a71f-b748fde14fcc
2023-01-01 00:02:37 UTC,view,5703723,2.62,572002047,02cc6ff7-0fe0-4f4a-b7fd-af41e9c829d9
2023-01-01 00:02:45 UTC,cart,5809803,1.27,595414814,dc2fb978-1008-4097-b598-440974faa7c3
2023-01-01 00:02:55 UTC,view,5622680,2.21,502631750,6edb4c0e-285c-4fbc-8977-589ef6d326b8
2023-01-01 00:03:04 UTC,remove_from_cart,4938,1.43,397780878,7e8a2b85-153a-44eb-a71f-b748fde14fcc
2023-01-01 00:03:04 UTC,remove_from_cart,4938,1.43,397780878,7e8a2b85-153a-44eb-a71f-b748fde14fcc
2023-01-01 00:03:04 UTC,view,5677043,13.33,595415004,a4e4ffb3-c041-4326-81d4-ff497467f79e
2023-01-01 00:03:13 UTC,cart,5591314,4.29,588166646,e099adca-fec5-4aef-820f-6116836e322a
2023-01-01 00:03:13 UTC,cart,5869577,1.27,595414814,dc2fb978-1008-4097-b598-440974faa7c3
2023-01-01 00:03:20 UTC,cart,5585658,0.71,486140614,40d8e7b0-e86d-4c68-bdae-6be378d82637
2023-01-01 00:03:34 UTC,cart,5800788,4.52,486140614,40d8e7b0-e86d-4c68-bdae-6be378d82637
2023-01-01 00:03:48 UTC,view,5885416,6.27,588166646,e099adca-fec5-4aef-820f-6116836e322a
2023-01-01 00:03:53 UTC,cart,6730,6.35,486140614,40d8e7b0-e86d-4c68-bdae-6be378d82637
2023-01-01 00:04:13 UTC,cart,5712801,3.02,486140614,40d8e7b0-e86d-4c68-bdae-6be378d82637
2023-01-01 00:04:14 UTC,view,5755166,5.56,420652863,546f6af3-a517-4752-a98b-80c4c5860711
2023-01-01 00:04:23 UTC,view,5740015,6.19,588166646,e099adca-fec5-4aef-820f-6116836e322a
2023-01-01 00:04:25 UTC,cart,5878923,8.1,486140614,40d8e7b0-e86d-4c68-bdae-6be378d82637
2023-01-01 00:04:26 UTC,view,5775985,17.46,397780878,7e8a2b85-153a-44eb-a71f-b748fde14fcc
2023-01-01 00:04:33 UTC,view,5588610,3.33,552530349,26279051-3d7c-467e-86ae-e981461f5169
2023-01-01 00:04:46 UTC,view,5775981,17.46,397780878,7e8a2b85-153a-44eb-a71f-b748fde14fcc
2023-01-01 00:04:48 UTC,view,5560754,194.44,308660401,ac9e0b76-1949-424f-98f0-71ff26115556
2023-01-01 00:04:49 UTC,view,5886282,21.59,595415220,741976ca-e097-487d-bf38-bab8409867c3
2023-01-01 00:04:50 UTC,view,5726464,5.56,420652863,546f6af3-a517-4752-a98b-80c4c5860711
2023-01-01 00:04:53 UTC,view,5863519,1.83,372834644,d463e1b6-0a4a-4157-929b-ecfff0d06096
2023-01-01 00:04:57 UTC,cart,5585660,0.92,486140614,40d8e7b0-e86d-4c68-bdae-6be378d82637
2023-01-01 00:05:01 UTC,view,11719,15.24,595415113,3021ed3b-5e7b-4295-89aa-1ecf5a0b3667
2023-01-01 00:05:05 UTC,view,5884033,4.06,483531143,84ea4985-e883-4d7d-9a52-1e6181a6ab32
2023-01-01 00:05:27 UTC,view,5902789,1.92,595415298,b5f94acc-e0a7-439b-91e2-b4099d0b00ce
2023-01-01 00:05:38 UTC,view,5699801,6.11,420652863,546f6af3-a517-4752-a98b-80c4c5860711
2023-01-01 00:05:51 UTC,cart,5622680,2.21,502631750,6edb4c0e-285c-4fbc-8977-589ef6d326b8
2023-01-01 00:05:58 UTC,cart,5775981,17.46,397780878,7e8a2b85-153a-44eb-a71f-b748fde14fcc
2023-01-01 00:06:04 UTC,view,5810794,9.13,595415384,f03a27a1-0e31-4d42-8ffe-46261a4ac07b
2023-01-01 00:06:07 UTC,purchase,5802440,2.16,595411904,74ca1cd5-5381-4ffe-b00b-a258b390db77
2023-01-01 00:06:07 UTC,purchase,5825203,7.92,595411904,74ca1cd5-5381-4ffe-b00b-a258b390db77
2023-01-01 00:06:09 UTC,cart,5814046,6.27,595415113,3021ed3b-5e7b-4295-89aa-1ecf5a0b3667
