event_time,event_type,product_id,price,user_id,user_session
2023-02-01 00:00:01 UTC,cart,5844305,2.14,485174092,4be9643a-420b-4c6b-83dd-a15e772fbf7a
2023-02-01 00:00:03 UTC,view,5769925,4.22,594621622,a88baf11-9cd0-4362-bde4-1bfeed3f641d
2023-02-01 00:00:08 UTC,view,5817765,11.03,495404942,3a569c8d-d848-4f09-a925-33f673d84c46
2023-02-01 00:00:11 UTC,view,5877033,3.49,564814969,7feb39e5-bb7b-4b2b-a546-3e3b7c56326e
2023-02-01 00:00:12 UTC,cart,5814871,2.54,551205603,106a7c7f-7fa1-4463-8bec-0ea7b02191cb
2023-02-01 00:00:14 UTC,remove_from_cart,5790563,7.14,607092857,a4ccd1c4-a9d2-48d0-9816-082ec5bb5e47
2023-02-01 00:00:14 UTC,remove_from_cart,5790563,7.14,607092857,a4ccd1c4-a9d2-48d0-9816-082ec5bb5e47
2023-02-01 00:00:19 UTC,cart,5528034,9.52,583267679,2806ff10-08bc-4811-9ab7-af074fe22a88
2023-02-01 00:00:23 UTC,cart,5813498,11.03,583267679,2806ff10-08bc-4811-9ab7-af074fe22a88
2023-02-01 00:00:27 UTC,view,5867134,19.0,495404942,3a569c8d-d848-4f09-a925-33f673d84c46
2023-02-01 00:00:33 UTC,view,5813494,11.03,583267679,2806ff10-08bc-4811-9ab7-af074fe22a88
2023-02-01 00:00:34 UTC,view,5877036,3.49,564814969,e9f1f268-6eb2-4f1a-9818-6d64136ea7d5
2023-02-01 00:00:35 UTC,cart,5844318,1.57,485174092,4be9643a-420b-4c6b-83dd-a15e772fbf7a
2023-02-01 00:00:37 UTC,view,5794157,1.73,417102560,dcf90ff3-a246-4b00-b39a-83e6444a0769
2023-02-01 00:00:39 UTC,view,5814871,2.54,551205603,106a7c7f-7fa1-4463-8bec-0ea7b02191cb
2023-02-01 00:00:46 UTC,view,5813498,11.03,583267679,2806ff10-08bc-4811-9ab7-af074fe22a88
2023-02-01 00:00:55 UTC,cart,5794157,1.73,417102560,dcf90ff3-a246-4b00-b39a-83e6444a0769
2023-02-01 00:00:57 UTC,view,5899845,4.02,423651741,fb42a963-abef-4c4f-b1ba-f5812dd54e80
2023-02-01 00:00:57 UTC,view,5813494,11.03,583267679,2806ff10-08bc-4811-9ab7-af074fe22a88
2023-02-01 00:01:00 UTC,view,6499,2.22,551205603,106a7c7f-7fa1-4463-8bec-0ea7b02191cb
2023-02-01 00:01:02 UTC,view,5813483,1.73,417102560,dcf90ff3-a246-4b00-b39a-83e6444a0769
2023-02-01 00:01:03 UTC,remove_from_cart,5639721,4.21,583267679,2806ff10-08bc-4811-9ab7-af074fe22a88
2023-02-01 00:01:06 UTC,remove_from_cart,5870076,5.71,583267679,2806ff10-08bc-4811-9ab7-af074fe22a88
2023-02-01 00:01:08 UTC,view,5603835,35.08,607932403,22c2e179-3a31-452d-8d87-c5993c2672a8
2023-02-01 00:01:09 UTC,view,5813496,11.03,583267679,2806ff10-08bc-4811-9ab7-af074fe22a88
